Entity,Code,Year,Crop,Value
Australia,AUS,2011,Wheat (tonnes per hectare),2.0301
Australia,AUS,2012,Wheat (tonnes per hectare),2.1511
Australia,AUS,2013,Wheat (tonnes per hectare),1.7609
Australia,AUS,2014,Wheat (tonnes per hectare),2.0061
Australia,AUS,2015,Wheat (tonnes per hectare),1.9172
Australia,AUS,2016,Wheat (tonnes per hectare),1.9743
Australia,AUS,2017,Wheat (tonnes per hectare),2.6100000000000003
Australia,AUS,2018,Wheat (tonnes per hectare),1.9178
Brazil,BRA,2011,Wheat (tonnes per hectare),2.6602
Brazil,BRA,2012,Wheat (tonnes per hectare),2.31
Brazil,BRA,2013,Wheat (tonnes per hectare),2.7491000000000003
Brazil,BRA,2014,Wheat (tonnes per hectare),2.2088
Brazil,BRA,2015,Wheat (tonnes per hectare),2.2278
Brazil,BRA,2016,Wheat (tonnes per hectare),3.1551
Brazil,BRA,2017,Wheat (tonnes per hectare),2.279
Brazil,BRA,2018,Wheat (tonnes per hectare),2.6238
India,IND,2011,Wheat (tonnes per hectare),2.9886
India,IND,2012,Wheat (tonnes per hectare),3.1775
India,IND,2013,Wheat (tonnes per hectare),3.1538
India,IND,2014,Wheat (tonnes per hectare),3.1457
India,IND,2015,Wheat (tonnes per hectare),2.7496
India,IND,2016,Wheat (tonnes per hectare),3.0339
India,IND,2017,Wheat (tonnes per hectare),3.1994
India,IND,2018,Wheat (tonnes per hectare),3.3705000000000003
Ireland,IRL,2011,Wheat (tonnes per hectare),9.8641
Ireland,IRL,2012,Wheat (tonnes per hectare),7.2235
Ireland,IRL,2013,Wheat (tonnes per hectare),8.9983
Ireland,IRL,2014,Wheat (tonnes per hectare),10.014
Ireland,IRL,2015,Wheat (tonnes per hectare),10.6677
Ireland,IRL,2016,Wheat (tonnes per hectare),9.539
Ireland,IRL,2017,Wheat (tonnes per hectare),10.1716
Ireland,IRL,2018,Wheat (tonnes per hectare),8.7379
Nigeria,NGA,2011,Wheat (tonnes per hectare),1.2791
Nigeria,NGA,2012,Wheat (tonnes per hectare),1.0189
Nigeria,NGA,2013,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2014,Wheat (tonnes per hectare),1.3043
Nigeria,NGA,2015,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2016,Wheat (tonnes per hectare),1.0
Nigeria,NGA,2017,Wheat (tonnes per hectare),0.9151
Nigeria,NGA,2018,Wheat (tonnes per hectare),0.7895000000000001
United States,USA,2011,Wheat (tonnes per hectare),2.9422
United States,USA,2012,Wheat (tonnes per hectare),3.1154
United States,USA,2013,Wheat (tonnes per hectare),3.1673
United States,USA,2014,Wheat (tonnes per hectare),2.9378
United States,USA,2015,Wheat (tonnes per hectare),2.9299
United States,USA,2016,Wheat (tonnes per hectare),3.5408000000000004
United States,USA,2017,Wheat (tonnes per hectare),3.1175
United States,USA,2018,Wheat (tonnes per hectare),3.1999
Australia,AUS,2011,Rice (tonnes per hectare),9.5441
Australia,AUS,2012,Rice (tonnes per hectare),8.9098
Australia,AUS,2013,Rice (tonnes per hectare),10.2177
Australia,AUS,2014,Rice (tonnes per hectare),10.6827
Australia,AUS,2015,Rice (tonnes per hectare),9.9103
Australia,AUS,2016,Rice (tonnes per hectare),10.2889
Australia,AUS,2017,Rice (tonnes per hectare),9.8208
Australia,AUS,2018,Rice (tonnes per hectare),10.386
Brazil,BRA,2011,Rice (tonnes per hectare),4.8956
Brazil,BRA,2012,Rice (tonnes per hectare),4.7860000000000005
Brazil,BRA,2013,Rice (tonnes per hectare),5.0071
Brazil,BRA,2014,Rice (tonnes per hectare),5.2013
Brazil,BRA,2015,Rice (tonnes per hectare),5.7525
Brazil,BRA,2016,Rice (tonnes per hectare),5.464300000000001
Brazil,BRA,2017,Rice (tonnes per hectare),6.213100000000001
Brazil,BRA,2018,Rice (tonnes per hectare),6.3123000000000005
India,IND,2011,Rice (tonnes per hectare),3.5878
India,IND,2012,Rice (tonnes per hectare),3.6909
India,IND,2013,Rice (tonnes per hectare),3.607
India,IND,2014,Rice (tonnes per hectare),3.5638
India,IND,2015,Rice (tonnes per hectare),3.6077
India,IND,2016,Rice (tonnes per hectare),3.7902
India,IND,2017,Rice (tonnes per hectare),3.8479
India,IND,2018,Rice (tonnes per hectare),3.8782
Ireland,IRL,2011,Rice (tonnes per hectare),0.0
Ireland,IRL,2012,Rice (tonnes per hectare),0.0
Ireland,IRL,2013,Rice (tonnes per hectare),0.0
Ireland,IRL,2014,Rice (tonnes per hectare),0.0
Ireland,IRL,2015,Rice (tonnes per hectare),0.0
Ireland,IRL,2016,Rice (tonnes per hectare),0.0
Ireland,IRL,2017,Rice (tonnes per hectare),0.0
Ireland,IRL,2018,Rice (tonnes per hectare),0.0
Nigeria,NGA,2011,Rice (tonnes per hectare),2.0325
Nigeria,NGA,2012,Rice (tonnes per hectare),1.8971
Nigeria,NGA,2013,Rice (tonnes per hectare),1.6454
Nigeria,NGA,2014,Rice (tonnes per hectare),1.9478
Nigeria,NGA,2015,Rice (tonnes per hectare),2.0042
Nigeria,NGA,2016,Rice (tonnes per hectare),2.0197000000000003
Nigeria,NGA,2017,Rice (tonnes per hectare),1.997
Nigeria,NGA,2018,Rice (tonnes per hectare),2.0351
United States,USA,2011,Rice (tonnes per hectare),7.9209
United States,USA,2012,Rice (tonnes per hectare),8.3651
United States,USA,2013,Rice (tonnes per hectare),8.6232
United States,USA,2014,Rice (tonnes per hectare),8.491900000000001
United States,USA,2015,Rice (tonnes per hectare),8.372200000000001
United States,USA,2016,Rice (tonnes per hectare),8.1121
United States,USA,2017,Rice (tonnes per hectare),8.4147
United States,USA,2018,Rice (tonnes per hectare),8.6211
Australia,AUS,2011,Maize (tonnes per hectare),5.739
Australia,AUS,2012,Maize (tonnes per hectare),6.465400000000001
Australia,AUS,2013,Maize (tonnes per hectare),6.444100000000001
Australia,AUS,2014,Maize (tonnes per hectare),7.4554
Australia,AUS,2015,Maize (tonnes per hectare),8.3001
Australia,AUS,2016,Maize (tonnes per hectare),7.508
Australia,AUS,2017,Maize (tonnes per hectare),6.4363
Australia,AUS,2018,Maize (tonnes per hectare),7.3365
Brazil,BRA,2011,Maize (tonnes per hectare),4.2107
Brazil,BRA,2012,Maize (tonnes per hectare),5.0057
Brazil,BRA,2013,Maize (tonnes per hectare),5.2536000000000005
Brazil,BRA,2014,Maize (tonnes per hectare),5.1761
Brazil,BRA,2015,Maize (tonnes per hectare),5.5353
Brazil,BRA,2016,Maize (tonnes per hectare),4.2877
Brazil,BRA,2017,Maize (tonnes per hectare),5.6183000000000005
Brazil,BRA,2018,Maize (tonnes per hectare),5.1044
India,IND,2011,Maize (tonnes per hectare),2.4784
India,IND,2012,Maize (tonnes per hectare),2.5557000000000003
India,IND,2013,Maize (tonnes per hectare),2.5726
India,IND,2014,Maize (tonnes per hectare),2.6107
India,IND,2015,Maize (tonnes per hectare),2.5972
India,IND,2016,Maize (tonnes per hectare),2.6162
India,IND,2017,Maize (tonnes per hectare),3.1182000000000003
India,IND,2018,Maize (tonnes per hectare),3.0239000000000003
Ireland,IRL,2011,Maize (tonnes per hectare),0.0
Ireland,IRL,2012,Maize (tonnes per hectare),0.0
Ireland,IRL,2013,Maize (tonnes per hectare),0.0
Ireland,IRL,2014,Maize (tonnes per hectare),0.0
Ireland,IRL,2015,Maize (tonnes per hectare),0.0
Ireland,IRL,2016,Maize (tonnes per hectare),0.0
Ireland,IRL,2017,Maize (tonnes per hectare),0.0
Ireland,IRL,2018,Maize (tonnes per hectare),0.0
Nigeria,NGA,2011,Maize (tonnes per hectare),1.6271
Nigeria,NGA,2012,Maize (tonnes per hectare),1.5118
Nigeria,NGA,2013,Maize (tonnes per hectare),1.4616
Nigeria,NGA,2014,Maize (tonnes per hectare),1.5850000000000002
Nigeria,NGA,2015,Maize (tonnes per hectare),1.5599
Nigeria,NGA,2016,Maize (tonnes per hectare),1.7551
Nigeria,NGA,2017,Maize (tonnes per hectare),1.5933000000000002
Nigeria,NGA,2018,Maize (tonnes per hectare),2.0924
United States,USA,2011,Maize (tonnes per hectare),9.2146
United States,USA,2012,Maize (tonnes per hectare),7.727
United States,USA,2013,Maize (tonnes per hectare),9.9256
United States,USA,2014,Maize (tonnes per hectare),10.7326
United States,USA,2015,Maize (tonnes per hectare),10.5723
United States,USA,2016,Maize (tonnes per hectare),11.7433
United States,USA,2017,Maize (tonnes per hectare),11.8754
United States,USA,2018,Maize (tonnes per hectare),11.8639
Australia,AUS,2011,Soybeans (tonnes per hectare),1.7136
Australia,AUS,2012,Soybeans (tonnes per hectare),2.2598000000000003
Australia,AUS,2013,Soybeans (tonnes per hectare),2.2336
Australia,AUS,2014,Soybeans (tonnes per hectare),2.1622
Australia,AUS,2015,Soybeans (tonnes per hectare),1.85
Australia,AUS,2016,Soybeans (tonnes per hectare),1.9048
Australia,AUS,2017,Soybeans (tonnes per hectare),1.8235
Australia,AUS,2018,Soybeans (tonnes per hectare),1.7027
Brazil,BRA,2011,Soybeans (tonnes per hectare),3.1214
Brazil,BRA,2012,Soybeans (tonnes per hectare),2.6366
Brazil,BRA,2013,Soybeans (tonnes per hectare),2.9285
Brazil,BRA,2014,Soybeans (tonnes per hectare),2.8659000000000003
Brazil,BRA,2015,Soybeans (tonnes per hectare),3.0286
Brazil,BRA,2016,Soybeans (tonnes per hectare),2.9049
Brazil,BRA,2017,Soybeans (tonnes per hectare),3.3785000000000003
Brazil,BRA,2018,Soybeans (tonnes per hectare),3.3903000000000003
India,IND,2011,Soybeans (tonnes per hectare),1.1998
India,IND,2012,Soybeans (tonnes per hectare),1.353
India,IND,2013,Soybeans (tonnes per hectare),1.0123
India,IND,2014,Soybeans (tonnes per hectare),0.9358
India,IND,2015,Soybeans (tonnes per hectare),0.7344
India,IND,2016,Soybeans (tonnes per hectare),1.177
India,IND,2017,Soybeans (tonnes per hectare),1.0442
India,IND,2018,Soybeans (tonnes per hectare),1.2093
Ireland,IRL,2011,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2012,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2013,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2014,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2015,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2016,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2017,Soybeans (tonnes per hectare),0.0
Ireland,IRL,2018,Soybeans (tonnes per hectare),0.0
Nigeria,NGA,2011,Soybeans (tonnes per hectare),0.8223
Nigeria,NGA,2012,Soybeans (tonnes per hectare),0.9726
Nigeria,NGA,2013,Soybeans (tonnes per hectare),0.7617
Nigeria,NGA,2014,Soybeans (tonnes per hectare),0.9855
Nigeria,NGA,2015,Soybeans (tonnes per hectare),0.9658
Nigeria,NGA,2016,Soybeans (tonnes per hectare),0.9563
Nigeria,NGA,2017,Soybeans (tonnes per hectare),0.9733
Nigeria,NGA,2018,Soybeans (tonnes per hectare),0.971
United States,USA,2011,Soybeans (tonnes per hectare),2.8232
United States,USA,2012,Soybeans (tonnes per hectare),2.6867
United States,USA,2013,Soybeans (tonnes per hectare),2.9615
United States,USA,2014,Soybeans (tonnes per hectare),3.1977
United States,USA,2015,Soybeans (tonnes per hectare),3.2289000000000003
United States,USA,2016,Soybeans (tonnes per hectare),3.4936000000000003
United States,USA,2017,Soybeans (tonnes per hectare),3.3133000000000004
United States,USA,2018,Soybeans (tonnes per hectare),3.4681
Australia,AUS,2011,Potatoes (tonnes per hectare),35.0887
Australia,AUS,2012,Potatoes (tonnes per hectare),38.2592
Australia,AUS,2013,Potatoes (tonnes per hectare),38.5434
Australia,AUS,2014,Potatoes (tonnes per hectare),39.697
Australia,AUS,2015,Potatoes (tonnes per hectare),39.2501
Australia,AUS,2016,Potatoes (tonnes per hectare),40.409600000000005
Australia,AUS,2017,Potatoes (tonnes per hectare),38.9534
Australia,AUS,2018,Potatoes (tonnes per hectare),39.9682
Brazil,BRA,2011,Potatoes (tonnes per hectare),26.2528
Brazil,BRA,2012,Potatoes (tonnes per hectare),27.4457
Brazil,BRA,2013,Potatoes (tonnes per hectare),27.7517
Brazil,BRA,2014,Potatoes (tonnes per hectare),27.941000000000003
Brazil,BRA,2015,Potatoes (tonnes per hectare),29.315900000000003
Brazil,BRA,2016,Potatoes (tonnes per hectare),29.6622
Brazil,BRA,2017,Potatoes (tonnes per hectare),30.9411
Brazil,BRA,2018,Potatoes (tonnes per hectare),31.176
India,IND,2011,Potatoes (tonnes per hectare),22.724
India,IND,2012,Potatoes (tonnes per hectare),21.753
India,IND,2013,Potatoes (tonnes per hectare),22.7606
India,IND,2014,Potatoes (tonnes per hectare),22.9224
India,IND,2015,Potatoes (tonnes per hectare),23.1257
India,IND,2016,Potatoes (tonnes per hectare),20.5087
India,IND,2017,Potatoes (tonnes per hectare),22.3061
India,IND,2018,Potatoes (tonnes per hectare),22.5611
Ireland,IRL,2011,Potatoes (tonnes per hectare),34.2404
Ireland,IRL,2012,Potatoes (tonnes per hectare),25.777800000000003
Ireland,IRL,2013,Potatoes (tonnes per hectare),38.3271
Ireland,IRL,2014,Potatoes (tonnes per hectare),40.3158
Ireland,IRL,2015,Potatoes (tonnes per hectare),42.3647
Ireland,IRL,2016,Potatoes (tonnes per hectare),39.1111
Ireland,IRL,2017,Potatoes (tonnes per hectare),44.8261
Ireland,IRL,2018,Potatoes (tonnes per hectare),33.2927
Nigeria,NGA,2011,Potatoes (tonnes per hectare),3.4906
Nigeria,NGA,2012,Potatoes (tonnes per hectare),3.6015
Nigeria,NGA,2013,Potatoes (tonnes per hectare),3.6252
Nigeria,NGA,2014,Potatoes (tonnes per hectare),3.5798
Nigeria,NGA,2015,Potatoes (tonnes per hectare),3.5486
Nigeria,NGA,2016,Potatoes (tonnes per hectare),3.6212
Nigeria,NGA,2017,Potatoes (tonnes per hectare),3.6463
Nigeria,NGA,2018,Potatoes (tonnes per hectare),3.6715
United States,USA,2011,Potatoes (tonnes per hectare),44.6923
United States,USA,2012,Potatoes (tonnes per hectare),45.7762
United States,USA,2013,Potatoes (tonnes per hectare),46.3577
United States,USA,2014,Potatoes (tonnes per hectare),47.1507
United States,USA,2015,Potatoes (tonnes per hectare),46.900000000000006
United States,USA,2016,Potatoes (tonnes per hectare),48.640800000000006
United States,USA,2017,Potatoes (tonnes per hectare),48.388200000000005
United States,USA,2018,Potatoes (tonnes per hectare),49.7624
Australia,AUS,2011,Beans (tonnes per hectare),0.7552
Australia,AUS,2012,Beans (tonnes per hectare),0.8098000000000001
Australia,AUS,2013,Beans (tonnes per hectare),0.9211
Australia,AUS,2014,Beans (tonnes per hectare),0.9143
Australia,AUS,2015,Beans (tonnes per hectare),0.9143
Australia,AUS,2016,Beans (tonnes per hectare),0.9091
Australia,AUS,2017,Beans (tonnes per hectare),0.9095
Australia,AUS,2018,Beans (tonnes per hectare),0.8717
Brazil,BRA,2011,Beans (tonnes per hectare),0.9353
Brazil,BRA,2012,Beans (tonnes per hectare),1.0315
Brazil,BRA,2013,Beans (tonnes per hectare),1.0281
Brazil,BRA,2014,Beans (tonnes per hectare),1.0342
Brazil,BRA,2015,Beans (tonnes per hectare),1.078
Brazil,BRA,2016,Beans (tonnes per hectare),1.0129
Brazil,BRA,2017,Beans (tonnes per hectare),1.0874
Brazil,BRA,2018,Beans (tonnes per hectare),1.0273
India,IND,2011,Beans (tonnes per hectare),0.3936
India,IND,2012,Beans (tonnes per hectare),0.4132
India,IND,2013,Beans (tonnes per hectare),0.4418
India,IND,2014,Beans (tonnes per hectare),0.423
India,IND,2015,Beans (tonnes per hectare),0.4125
India,IND,2016,Beans (tonnes per hectare),0.4132
India,IND,2017,Beans (tonnes per hectare),0.4113
India,IND,2018,Beans (tonnes per hectare),0.4592
Ireland,IRL,2011,Beans (tonnes per hectare),6.0952
Ireland,IRL,2012,Beans (tonnes per hectare),4.9118
Ireland,IRL,2013,Beans (tonnes per hectare),5.275
Ireland,IRL,2014,Beans (tonnes per hectare),6.069
Ireland,IRL,2015,Beans (tonnes per hectare),6.6566
Ireland,IRL,2016,Beans (tonnes per hectare),5.843500000000001
Ireland,IRL,2017,Beans (tonnes per hectare),6.7462
Ireland,IRL,2018,Beans (tonnes per hectare),2.6923
Nigeria,NGA,2011,Beans (tonnes per hectare),0.0
Nigeria,NGA,2012,Beans (tonnes per hectare),0.0
Nigeria,NGA,2013,Beans (tonnes per hectare),0.0
Nigeria,NGA,2014,Beans (tonnes per hectare),0.0
Nigeria,NGA,2015,Beans (tonnes per hectare),0.0
Nigeria,NGA,2016,Beans (tonnes per hectare),0.0
Nigeria,NGA,2017,Beans (tonnes per hectare),0.0
Nigeria,NGA,2018,Beans (tonnes per hectare),0.0
United States,USA,2011,Beans (tonnes per hectare),1.9089
United States,USA,2012,Beans (tonnes per hectare),2.1168
United States,USA,2013,Beans (tonnes per hectare),2.0927
United States,USA,2014,Beans (tonnes per hectare),1.9655
United States,USA,2015,Beans (tonnes per hectare),1.9729
United States,USA,2016,Beans (tonnes per hectare),2.0648
United States,USA,2017,Beans (tonnes per hectare),1.9927
United States,USA,2018,Beans (tonnes per hectare),2.0843000000000003
Australia,AUS,2011,Peas (tonnes per hectare),1.243
Australia,AUS,2012,Peas (tonnes per hectare),1.3761
Australia,AUS,2013,Peas (tonnes per hectare),1.1398
Australia,AUS,2014,Peas (tonnes per hectare),1.3992
Australia,AUS,2015,Peas (tonnes per hectare),1.2253
Australia,AUS,2016,Peas (tonnes per hectare),1.2168
Australia,AUS,2017,Peas (tonnes per hectare),1.8052
Australia,AUS,2018,Peas (tonnes per hectare),1.0882
Brazil,BRA,2011,Peas (tonnes per hectare),2.5364
Brazil,BRA,2012,Peas (tonnes per hectare),2.4502
Brazil,BRA,2013,Peas (tonnes per hectare),2.3765
Brazil,BRA,2014,Peas (tonnes per hectare),1.9978
Brazil,BRA,2015,Peas (tonnes per hectare),1.8653
Brazil,BRA,2016,Peas (tonnes per hectare),3.4401
Brazil,BRA,2017,Peas (tonnes per hectare),2.4736
Brazil,BRA,2018,Peas (tonnes per hectare),3.3608
India,IND,2011,Peas (tonnes per hectare),0.8157000000000001
India,IND,2012,Peas (tonnes per hectare),0.9339
India,IND,2013,Peas (tonnes per hectare),1.0991
India,IND,2014,Peas (tonnes per hectare),0.9605
India,IND,2015,Peas (tonnes per hectare),0.9118
India,IND,2016,Peas (tonnes per hectare),0.8217
India,IND,2017,Peas (tonnes per hectare),0.955
India,IND,2018,Peas (tonnes per hectare),0.9226
Ireland,IRL,2011,Peas (tonnes per hectare),5.2857
Ireland,IRL,2012,Peas (tonnes per hectare),4.1429
Ireland,IRL,2013,Peas (tonnes per hectare),4.4
Ireland,IRL,2014,Peas (tonnes per hectare),5.0
Ireland,IRL,2015,Peas (tonnes per hectare),4.125
Ireland,IRL,2016,Peas (tonnes per hectare),3.4000000000000004
Ireland,IRL,2017,Peas (tonnes per hectare),3.5714
Ireland,IRL,2018,Peas (tonnes per hectare),2.4286000000000003
Nigeria,NGA,2011,Peas (tonnes per hectare),0.0
Nigeria,NGA,2012,Peas (tonnes per hectare),0.0
Nigeria,NGA,2013,Peas (tonnes per hectare),0.0
Nigeria,NGA,2014,Peas (tonnes per hectare),0.0
Nigeria,NGA,2015,Peas (tonnes per hectare),0.0
Nigeria,NGA,2016,Peas (tonnes per hectare),0.0
Nigeria,NGA,2017,Peas (tonnes per hectare),0.0
Nigeria,NGA,2018,Peas (tonnes per hectare),0.0
United States,USA,2011,Peas (tonnes per hectare),1.8392
United States,USA,2012,Peas (tonnes per hectare),1.9842
United States,USA,2013,Peas (tonnes per hectare),2.1967000000000003
United States,USA,2014,Peas (tonnes per hectare),2.1376
United States,USA,2015,Peas (tonnes per hectare),1.8915
United States,USA,2016,Peas (tonnes per hectare),2.3382
United States,USA,2017,Peas (tonnes per hectare),1.5131
United States,USA,2018,Peas (tonnes per hectare),2.2099
Australia,AUS,2011,Barley (tonnes per hectare),2.1719
Australia,AUS,2012,Barley (tonnes per hectare),2.2109
Australia,AUS,2013,Barley (tonnes per hectare),2.0502
Australia,AUS,2014,Barley (tonnes per hectare),2.4054
Australia,AUS,2015,Barley (tonnes per hectare),2.1202
Australia,AUS,2016,Barley (tonnes per hectare),2.1892
Australia,AUS,2017,Barley (tonnes per hectare),2.7939000000000003
Australia,AUS,2018,Barley (tonnes per hectare),2.2438
Brazil,BRA,2011,Barley (tonnes per hectare),3.4439
Brazil,BRA,2012,Barley (tonnes per hectare),2.5793
Brazil,BRA,2013,Barley (tonnes per hectare),3.7441
Brazil,BRA,2014,Barley (tonnes per hectare),2.8120000000000003
Brazil,BRA,2015,Barley (tonnes per hectare),2.1559
Brazil,BRA,2016,Barley (tonnes per hectare),4.1699
Brazil,BRA,2017,Barley (tonnes per hectare),2.4903
Brazil,BRA,2018,Barley (tonnes per hectare),3.2591
India,IND,2011,Barley (tonnes per hectare),2.3574
India,IND,2012,Barley (tonnes per hectare),2.5194
India,IND,2013,Barley (tonnes per hectare),2.518
India,IND,2014,Barley (tonnes per hectare),2.7171000000000003
India,IND,2015,Barley (tonnes per hectare),2.2815000000000003
India,IND,2016,Barley (tonnes per hectare),2.4407
India,IND,2017,Barley (tonnes per hectare),2.6677
India,IND,2018,Barley (tonnes per hectare),2.6929000000000003
Ireland,IRL,2011,Barley (tonnes per hectare),7.8184
Ireland,IRL,2012,Barley (tonnes per hectare),6.5389
Ireland,IRL,2013,Barley (tonnes per hectare),7.5789
Ireland,IRL,2014,Barley (tonnes per hectare),8.026
Ireland,IRL,2015,Barley (tonnes per hectare),8.5759
Ireland,IRL,2016,Barley (tonnes per hectare),7.8219
Ireland,IRL,2017,Barley (tonnes per hectare),8.3552
Ireland,IRL,2018,Barley (tonnes per hectare),6.6139
Nigeria,NGA,2011,Barley (tonnes per hectare),0.0
Nigeria,NGA,2012,Barley (tonnes per hectare),0.0
Nigeria,NGA,2013,Barley (tonnes per hectare),0.0
Nigeria,NGA,2014,Barley (tonnes per hectare),0.0
Nigeria,NGA,2015,Barley (tonnes per hectare),0.0
Nigeria,NGA,2016,Barley (tonnes per hectare),0.0
Nigeria,NGA,2017,Barley (tonnes per hectare),0.0
Nigeria,NGA,2018,Barley (tonnes per hectare),0.0
United States,USA,2011,Barley (tonnes per hectare),3.716
United States,USA,2012,Barley (tonnes per hectare),3.5986
United States,USA,2013,Barley (tonnes per hectare),3.8358
United States,USA,2014,Barley (tonnes per hectare),3.9115
United States,USA,2015,Barley (tonnes per hectare),3.7083
United States,USA,2016,Barley (tonnes per hectare),4.1931
United States,USA,2017,Barley (tonnes per hectare),3.9283
United States,USA,2018,Barley (tonnes per hectare),4.1637
